x,y
485,3104
479,3095
477,3095
476,3094
483,3095
479,3092
483,3090
478,3087
467,3115
481,3096
479,3097
481,3088
477,3095
477,3091
477,3091
480,3092
478,3095
484,3080
489,3084
495,3081
496,3078
494,3084
496,3085
493,3079
494,3076
490,3071
490,3071
494,3061
493,3043
492,3025
496,3001
501,2984
499,2984
504,2985
499,2990
496,2978
500,2969
504,2973
521,2963
521,2963
509,2962
516,2966
521,2965
518,2962
519,2946
519,2946
522,2943
533,2959
542,2971
543,2964
541,2949
538,2949
542,2918
555,2925
563,2906
575,2904
585,2915
590,2909
603,2920
608,2917
621,2936
626,2946
634,2953
634,2953
642,2959
649,2943
659,2965
656,2982
667,2981
667,2981
670,2990
671,2998
682,3018
691,3026
698,3041
695,3035
703,3043
710,3036
716,3041
726,3058
727,3070
727,3070
731,3076
741,3103
751,3113
758,3132
758,3155
757,3147
759,3173
763,3208
770,3217
772,3226
773,3218
770,3225
773,3228
776,3224
772,3232
773,3239
778,3251
778,3251
781,3261
783,3290
783,3307
781,3325
778,3349
781,3346
776,3343
783,3351
781,3346
788,3352
800,3352
800,3352
826,3353
842,3360
852,3349
858,3361
880,3353
882,3351
895,3358
911,3345
930,3351
961,3362
961,3362
961,3362
961,3362
1020,3371
1022,3378
1029,3379
1039,3383
1043,3381
1051,3378
1065,3372
1080,3377
1094,3387
1100,3369
1100,3365
1136,3370
1147,3372
1160,3364
1170,3403
1183,3371
1175,3363
1230,3370
1366,3381
1367,3415
1368,3400
1207,3362
1207,3363
1207,3366
1197,3366
1190,3354
1183,3348
1191,3342
1188,3332
1177,3343
1165,3332
1152,3342
1144,3292
1130,3297
1131,3299
1115,3305
1104,3317
1086,3323
1076,3316
1071,3323
1073,3307
1065,3298
1061,3276
1046,3292
1032,3285
1015,3278
1014,3280
997,3289
972,3304
959,3305
945,3316
940,3315
941,3308
935,3321
932,3330
926,3311
900,3399
915,3393
880,3407
867,3316
843,3323
820,3422
815,3414
810,3410
805,3303
780,3384
760,3278
722,3276
695,3275
686,3271
687,3267
677,3277
668,3267
660,3257
650,3265
629,3258
628,3257
612,3249
590,3240
576,3233
560,3201
547,3199
547,3199
540,3201
530,3212
521,3198
514,3191
495,3147
484,3160
493,3163
486,3130
486,3130
486,3130
481,3103
481,3103
481,3103
487,3112
481,3110
487,3115
494,3117
499,3123
512,3119
512,3119
531,3118
548,3119
556,3129
556,3126
573,3139
579,3134
587,3123
590,3120
590,3120
609,3101
609,3101
644,3026
645,3034
665,3029
673,3011
685,3014
685,3014
695,3009
710,2998
731,2967
761,2952
787,2960
787,2962
801,2944
820,2941
835,2918
853,2906
878,2910
873,2910
897,2900
905,2890
933,2858
965,2840
975,2833
971,2837
983,2822
995,2798
1021,2803
1021,2803
1021,2803
1021,2803
1057,2766
1071,2762
1083,2744
1092,2730
1103,2722
1103,2722
1114,2707
1126,2701
1136,2695
1143,2695
1144,2696
1143,2686
1146,2691
1153,2688
1156,2675
1169,2658
1169,2663
1171,2661
1168,2660
1164,2663
1161,2659
1156,2662
